index,,Lower Salary Estimate,Higher Salary Estimate,Rating,Company,Location,State,Headquarters,"State,Country",Siz,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Count of Competitors,Machine Learning,Count of Machine Learning,
252,Data Scientist,90.00,124.00,3.3,"Parker Hannifin
",Cleveland, OH,Cleveland, OH,10000+ ,1917,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion ,"Eaton, SMC Corporation, Bosch Rexroth",5,No,,
253,Data Scientist,90.00,124.00,4.1,"Gallup
",New York, NY,Washington, DC,1001 to 5000 ,1935,Company - Private,Consulting,Business Services,Unknown,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",8,No,,
254,Data Scientist,90.00,124.00,3.3,"Insider Inc
",New York, NY,New York, NY,201 to 500 ,2007,Company - Private,News Outlet,Media,$50 to $100 million ,None,0,No,,
255,Data Scientist,90.00,124.00,3.9,"Rapid Value Solutions
",San Francisco, CA,Pleasanton, CA,201 to 500 ,2009,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
256,Environmental Data Science,90.00,124.00,3.1,"Battelle
",Norwell, MA,Columbus, OH,10000+ ,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion ,None,0,No,,
257,Computational Behavioral Scientist,90.00,124.00,4.2,"Ntrepid
",Herndon, VA,Herndon, VA,201 to 500 ,2010,Company - Private,IT Services,Information Technology,$50 to $100 million ,"Bromium, FireEye, Authentic8",3,No,,
258,Data Scientist,90.00,124.00,5,"The Drive Media, Inc.
",New York, NY,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
259,Staff Bi And Data Engineer,90.00,124.00,2.9,"Affinity Solutions
",San Jose, CA,New York, NY,51 to 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown,"Commerce Signals, Cardlytics, Yodlee",4,No,,
260,Principal Machine Learning Scientist,90.00,124.00,4.7,"Sage Intacct
",San Francisco, CA,San Jose, CA,501 to 1000 ,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown,None,0,Yes,,
261,Principal Data Scientist - Machine Learning,90.00,124.00,3.6,"Constant Contact
",Waltham, MA,Waltham, MA,Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown,"Drip, iContact, Mailchimp",3,Yes,,
262,Data Scientist-Human Resources,91.00,150.00,3.8,"MIT Lincoln Laboratory
",Lexington, MA,Lexington, MA,1001 to 5000 ,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,No,,
263,Associate Data Scientist,91.00,150.00,3.3,"Puget Sound Energy
",Bothell, WA,Bellevue, WA,1001 to 5000 ,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion ,None,0,No,,
264,"Data Scientist - Statistics, Mid-Career",91.00,150.00,3.7,"Pacific Northwest National Laboratory
",Richland, WA,Richland, WA,1001 to 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion ,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",12,No,,
265,Director Of Data Science,91.00,150.00,3.8,"Analysis Group
",Boston, MA,Boston, MA,1001 to 5000 ,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million ,None,0,No,,
266,Data Scientist,91.00,150.00,3.2,"US Pharmacopeia
",Rockville, MD,Rockville, MD,1001 to 5000 ,1820,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,None,0,No,,
267,Data Scientist,91.00,150.00,4.6,"Itlize Global
",Piscataway, NJ,Piscataway, NJ,201 to 500 ,2010,Company - Private,IT Services,Information Technology,$10 to $25 million ,None,0,No,,
268,Data Scientist,91.00,150.00,3.5,"eBay
",San Jose, CA,San Jose, CA,10000+ ,1995,Company - Public,Internet,Information Technology,$10+ billion ,"Amazon, Apple",2,No,,
269,"Data Engineer, Digital & Comp Pathology",91.00,150.00,5,"Paige
",New York, NY,New York, NY,1 to 50 ,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
270,Data Engineer,91.00,150.00,4.1,"Shape Security
",Santa Clara, CA,Mountain View, CA,51 to 200 ,2011,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
271,"Manager / Lead, Data Science & Analytics",91.00,150.00,4.1,"ABIOMED
",Danvers, MA,Danvers, MA,1001 to 5000 ,1981,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,"Covidien, Boston Scientific",3,No,,
272,Data Scientist,91.00,150.00,3.5,"Comcast
",New York, NY,Philadelphia, PA,10000+ ,1963,Company - Public,Unknown,Unknown,$10+ billion ,"AT&T, Verizon",2,No,,
273,Data Scientist,91.00,150.00,3.2,"Metronome, LLC
",Vienna, VA,Fairfax, VA,51 to 200 ,2011,Company - Private,IT Services,Information Technology,$10 to $25 million ,None,0,No,,
274,Data Scientist,91.00,150.00,5,"SkillSoniq
",San Francisco, CA,Jersey City, NJ,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,None,0,No,,
275,Data Scientist,91.00,150.00,4.7,"Lawrence Livermore National Lab
",Livermore, CA,Livermore, CA,1001 to 5000 ,1952,Government,Federal Agencies,Government,$1 to $2 billion ,"Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories",11,No,,
276,Diversity And Inclusion Data Analyst,91.00,150.00,3.8,"FHLBank Pittsburgh
",Pittsburgh, PA,Pittsburgh, PA,201 to 500 ,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion ,None,0,No,,
277,Data Scientist,91.00,150.00,3.6,"Jacobs
",Herndon, VA,Dallas, TX,10000+ ,1947,Company - Public,Architectural & Engineering Services,Business Services,$10+ billion ,"Fluor, Bechtel, AECOM",3,No,,
278,Data Scientist,91.00,150.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
279,Data Scientist,91.00,150.00,3.3,"Underwriters Laboratories
",Northbrook, IL,Northbrook, IL,10000+ ,1894,Company - Private,Consulting,Business Services,$2 to $5 billion ,"Intertek, SGS, Bureau Veritas",4,No,,
280,Data Scientist,91.00,150.00,3.7,"Altus Group
",Irvine, CA,Toronto, Canada,1001 to 5000 ,2005,Company - Public,Real Estate,Real Estate,$100 to $500 million ,None,0,No,,
281,Data Scientist,91.00,150.00,5,"Jobot
",Irvine, CA,Irvine, CA,51 to 200 ,2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million ,None,0,No,,
282,Data Scientist,91.00,150.00,Unknown,Trovetechs ,San Francisco, CA,Hillsborough, NJ,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
283,Senior Analyst/Data Scientist,141.00,225.00,3.4,"Edmunds.com
",Santa Monica, CA,Santa Monica, CA,501 to 1000 ,1966,Company - Private,Internet,Information Technology,$100 to $500 million ,"TrueCar, Cars.com, Kelley Blue Book",5,No,,
284,Data Scientist,141.00,225.00,5,"Cohere Health
",Boston, MA,Boston, MA,1 to 50 ,2019,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
285,Data Scientist,141.00,225.00,Unknown,Trovetechs ,San Francisco, CA,Hillsborough, NJ,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
286,Senior Data Scientist - R&D Oncology,141.00,225.00,4,"AstraZeneca
",New York, NY,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
287,Data Scientist,141.00,225.00,4.2,"Oshkosh Corporation
",Oshkosh, WI,Oshkosh, WI,10000+ ,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion ,"Lockheed Martin, Caterpillar, John Deere",5,No,,
288,Data Scientist,141.00,225.00,4.3,"Joby Aviation
",San Carlos, CA,Santa Cruz, CA,51 to 200 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
289,Data Scientist,141.00,225.00,3.4,"Mackin
",Menlo Park, CA,Pittsburgh, PA,51 to 200 ,1960,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million ,None,0,No,,
290,Data Scientist,141.00,225.00,Unknown,PETAD,San Francisco, CA,Fremont, CA,51 to 200 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
291,Data Scientist,141.00,225.00,4.4,"VBeyond Corporation
",Dallas, TX,Hillsborough, NJ,201 to 500 ,2006,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million ,None,0,No,,
292,Data Scientist Machine Learning,141.00,225.00,3.5,"Leidos
",Arlington, VA,Reston, VA,10000+ ,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion ,None,0,Yes,,
293,Data Scientist,141.00,225.00,3.7,"Take-Two
",San Francisco, CA,New York, NY,1001 to 5000 ,1993,Company - Public,Video Games,Media,$1 to $2 billion ,"Activision Blizzard, Electronic Arts",4,No,,
294,Data Scientist,141.00,225.00,3.7,"Colony Brands
",Monroe, WI,Monroe, WI,501 to 1000 ,Unknown,Company - Private,Food & Beverage Stores,Retail,$100 to $500 million ,None,0,No,,
295,Data Scientist,141.00,225.00,4.1,"Capio Group
",Sacramento, CA,Goteborg, Sweden,10000+ ,Unknown,Hospital,Health Care Services & Hospitals,Health Care,Unknown,None,0,No,,
296,Data Scientist,141.00,225.00,3.4,"SleePare
",New York, NY,New York, NY,1 to 50 ,2017,Company - Private,Other Retail Stores,Retail,Unknown,None,0,No,,
297,Data Analyst,141.00,225.00,4.5,"ShorePoint
",Reston, VA,Washington, DC,1 to 50 ,2017,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
298,Data Scientist,141.00,225.00,3.5,"Dolphin
",New York, NY,Lake Buena Vista, FL,1001 to 5000 ,1990,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown,None,0,No,,
299,Data Scientist,141.00,225.00,3.6,"TE Connectivity
",Hampton, VA,Schaffhausen, Switzerland,10000+ ,2007,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion ,None,0,No,,
300,Data Scientist,141.00,225.00,3.2,"State of Virginia
",Richmond, VA,Richmond, VA,10000+ ,1788,Government,State & Regional Agencies,Government,$10+ billion ,None,0,No,,
301,Data Scientist,141.00,225.00,3.7,"TA Digital
",New York, NY,Newark, CA,501 to 1000 ,2000,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million ,None,0,No,,
302,Data Scientist,141.00,225.00,4,"Market America Inc
",Monterey, CA,Greensboro, NC,501 to 1000 ,1992,Company - Private,Other Retail Stores,Retail,$100 to $500 million ,None,0,No,,
303,Data Scientist,145.00,225.00,3.2,"Triplebyte
",Chicago, IL,San Francisco, CA,51 to 200 ,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
304,Data Scientist,145.00,225.00,4.5,"Kingfisher Systems
",McLean, VA,Falls Church, VA,51 to 200 ,2005,Company - Private,Federal Agencies,Government,$25 to $50 million ,None,0,No,,
305,Chief Scientist,145.00,225.00,3.4,"TrueAccord
",Remote,,San Francisco, CA,51 to 200 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
306,Data Scientist,145.00,225.00,3.9,"ALTA IT Services
",Woodlawn, MD,Rockville, MD,201 to 500 ,2004,Company - Private,IT Services,Information Technology,$10 to $25 million ,None,0,No,,
307,Data Scientist,145.00,225.00,3.2,"Kollasoft Inc.
",United States,,Scottsdale, AZ,1 to 50 ,Unknown,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
308,Data Scientist,145.00,225.00,5,"Kollasoft Inc.
",New York, NY,Irving, TX,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,None,0,No,,
309,Data Scientist,145.00,225.00,3.4,"ASRC Federal Holding Company
",Reston, VA,Beltsville, MD,5001 to 10000 ,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion ,None,0,No,,
310,Data Scientist,145.00,225.00,4.4,"Adwait Algorithm
",New York, NY,Houston, TX,51 to 200 ,2015,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
311,"Health Plan Data Analyst, Sr",145.00,225.00,3.8,"Cook Children's Health Care System
",Fort Worth, TX,Fort Worth, TX,5001 to 10000 ,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million ,"Children's Health, Texas Health Resources, Baylor Scott & White Health",10,No,,
312,"Principal Scientist/Associate Director, Quality Control And Analytical Technologies",145.00,225.00,3.8,"Rubius Therapeutics
",Smithfield, RI,Cambridge, MA,201 to 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,None,0,No,,
313,Data Scientist,145.00,225.00,3.5,"Cambridge FX
",Atlanta, GA,Toronto, Canada,201 to 500 ,1992,Company - Public,Financial Transaction Processing,Finance,$100 to $500 million ,None,0,No,,
314,Senior Data Scientist,145.00,225.00,3.8,"Metromile
",San Francisco, CA,San Francisco, CA,201 to 500 ,2011,Company - Private,Insurance Carriers,Insurance,Unknown,None,0,No,,
315,Data Scientist,145.00,225.00,3.9,"Criteo
",Ann Arbor, MI,Paris, France,1001 to 5000 ,2005,Company - Public,Internet,Information Technology,$2 to $5 billion ,"MediaMath, Conversant, AppNexus",3,No,,
316,Data Scientist,145.00,225.00,3.4,"Advance Sourcing Concepts
",Pittsburgh, PA,Pittsburgh, PA,51 to 200 ,Unknown,Company - Private,Unknown,Unknown,$1 to $5 million ,None,0,No,,
317,Data Scientist,145.00,225.00,3.8,"Enterprise Solutions Inc
",New York, NY,Naperville, IL,51 to 200 ,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million ,None,0,No,,
318,Analytics - Business Assurance Data Analyst,145.00,225.00,4.6,"GreatAmerica Financial Services
",Cedar Rapids, IA,Cedar Rapids, IA,501 to 1000 ,1992,Company - Private,Lending,Finance,$100 to $500 million ,None,0,No,,
319,Data Scientist,145.00,225.00,Unknown,Microagil,New York, NY,Princeton, NJ,1 to 50 ,Unknown,Company - Private,Consulting,Business Services,$1 to $5 million ,None,0,No,,
320,Data Scientist,145.00,225.00,4.6,"Conch Technologies, Inc
",Concord, CA,Memphis, TN,51 to 200 ,Unknown,Company - Private,Consulting,Business Services,$5 to $10 million ,None,0,No,,
321,Development Scientist,145.00,225.00,3.9,"GSK
",Richmond, VA,Brentford, United Kingdom,10000+ ,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Pfizer, AstraZeneca, Merck",3,No,,
322,Data Scientist,145.00,225.00,Unknown,"Rainmaker Resources, ",Cincinnati, OH,Cincinnati, OH,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
323,Data Scientist,79.00,147.00,3.7,"GovTech
",San Francisco, CA,Singapore, Singapore,1001 to 5000 ,2016,Government,Federal Agencies,Government,Unknown,None,0,No,,
324,Data Scientist,79.00,147.00,3.3,"Intellectual Ventures
",Bellevue, WA,Bellevue, WA,501 to 1000 ,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown,None,0,No,,
325,Data Engineer,79.00,147.00,4.4,"Rocket Lawyer
",San Francisco, CA,San Francisco, CA,51 to 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million ,None,0,No,,
326,Data Scientist,79.00,147.00,3.7,"22nd Century Technologies
",Oakland, CA,Somerset, NJ,1001 to 5000 ,1997,Company - Private,IT Services,Information Technology,$25 to $50 million ,None,0,No,,
327,Data Scientist,79.00,147.00,3.3,"Huxley
",San Francisco, CA,London, United Kingdom,201 to 500 ,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million ,None,0,No,,
328,Data Scientist,79.00,147.00,3.4,"FM Systems
",Boston, MA,Raleigh, NC,51 to 200 ,1984,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million ,"Archibus, iOffice, Planon",3,No,,
329,Data Scientist,79.00,147.00,Unknown,B4C,Reston, VA,Leesburg, VA,51 to 200 ,Unknown,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
330,Machine Learning Engineer,79.00,147.00,3.7,"Mteq
",Fort Belvoir, VA,Lorton, VA,501 to 1000 ,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,"Harris, Fibertek",2,Yes,,
331,Principal Data & Analytics Platform Engineer,79.00,147.00,3.7,"Blue Cross and Blue Shield of North Carolina
",Durham, NC,Durham, NC,1001 to 5000 ,1933,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion ,None,0,No,,
332,Machine Learning Engineer/Scientist,79.00,147.00,4.8,"Jane Street
",New York, NY,New York, NY,501 to 1000 ,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown,None,0,Yes,,
333,Data Scientist,79.00,147.00,5,"SSATI
",McLean, VA,Annapolis Junction, MD,1 to 50 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million ,None,0,No,,
334,Senior Data Scientist Image Analytics,79.00,147.00,3.9,"Novartis
",Cambridge, MA,Basel, Switzerland,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,No,,
335,Data Scientist,79.00,147.00,3.4,"Solving IT International Inc
",Chicago, IL,Chicago, IL,501 to 1000 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
336,Data Scientist,79.00,147.00,3.3,"The Davey Tree Expert Company
",Kent, OH,Kent, OH,10000+ ,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion ,"ACRT Services, Bartlett Tree Experts",5,No,,
337,Data Scientist,79.00,147.00,4.6,"Centauri
",Reston, VA,Chantilly, VA,501 to 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,"TASC, Vencore, Booz Allen Hamilton",5,No,,
338,Data Scientist,79.00,147.00,Unknown,Stride Sea,San Francisco, CA,Westlake Village, CA,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Less than $1 million ,None,0,No,,
339,Machine Learning Engineer,79.00,147.00,2.6,"Software Engineering Institute
",Pittsburgh, PA,Pittsburgh, PA,501 to 1000 ,1984,College / University,Colleges & Universities,Education,Unknown,None,0,Yes,,
340,Data Analyst - Unilever Prestige,79.00,147.00,3.8,"Dermalogica
",Carson, CA,Carson, CA,201 to 500 ,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million ,"IMAGE Skincare, Aveda, Kiehl's",4,No,,
341,Data Scientist,79.00,147.00,4.8,"TechProjects
",New York, NY,North Brunswick, NJ,1 to 50 ,2011,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
342,"Vp, Data Science",79.00,147.00,3.9,"7Park Data
",New York, NY,New York, NY,51 to 200 ,2012,Company - Private,Research & Development,Business Services,Unknown,None,0,No,,
343,Data Scientist,122.00,146.00,4,"Netskope
",Santa Clara, CA,Santa Clara, CA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,"Skyhigh Networks, Zscaler, NortonLifeLock",4,No,,
344,Data Scientist,122.00,146.00,4.2,"Eversight
",Palo Alto, CA,Palo Alto, CA,51 to 200 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million ,None,0,No,,
345,Senior Business Intelligence Analyst,122.00,146.00,3.7,"Protolabs
",Maple Plain, MN,Maple Plain, MN,1001 to 5000 ,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million ,None,0,No,,
346,Data Scientist,122.00,146.00,3,"Ameritas Life Insurance Corp
",Cincinnati, OH,Lincoln, NE,1001 to 5000 ,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion ,None,0,No,,
347,Data Engineer - Kafka,122.00,146.00,3.5,"Western Digital
",San Jose, CA,San Jose, CA,10000+ ,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion ,"Seagate Technology, Toshiba",3,No,,
348,Data Scientist,122.00,146.00,2.9,"Shimento, Inc.
",Santa Clara, CA,Benicia, CA,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,$1 to $5 million ,None,0,No,,
349,Data Scientist,122.00,146.00,5,"Averity
",New York, NY,New York, NY,1 to 50 ,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown,None,0,No,,
350,Data Scientist,122.00,146.00,4.7,"Praxis Engineering
",Chantilly, VA,Annapolis Junction, MD,201 to 500 ,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million ,"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton",7,No,,
351,Data Scientist,122.00,146.00,Unknown,Point72 Ventu,Palo Alto, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
352,Decision Scientist,122.00,146.00,4.5,"Johns Hopkins University Applied Physics Laboratory
",Laurel, MD,Laurel, MD,5001 to 10000 ,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion ,"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",7,No,,
353,Data Scientist,122.00,146.00,4.9,"Cambridge Mobile Telematics
",Cambridge, MA,Cambridge, MA,1 to 50 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
354,Data Science All Star Program - Data Engineer Track,122.00,146.00,4.6,"Blend360
",Columbia, MD,Columbia, MD,51 to 200 ,2002,Company - Private,Consulting,Business Services,Unknown,None,0,No,,
355,Data Scientist,122.00,146.00,5,"Phoenix Operations Group
",Annapolis Junction, MD,Woodbine, MD,1 to 50 ,2011,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
356,Data Analyst,122.00,146.00,3.9,"Nolij Consulting
",Falls Church, VA,Vienna, VA,51 to 200 ,2012,Company - Public,Consulting,Business Services,$1 to $5 million ,None,0,No,,
357,Data Scientist,122.00,146.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
358,Data Scientist,122.00,146.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
359,Data Scientist,122.00,146.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
360,Data Scientist,122.00,146.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
361,Data Scientist,122.00,146.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
362,Data Scientist,122.00,146.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
363,Senior Data Scientist,122.00,146.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
364,Data Scientist,112.00,116.00,4.3,"Quick Base
",Cambridge, MA,Cambridge, MA,201 to 500 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
365,Data Scientist,112.00,116.00,3.7,"Takeda
",Cambridge, MA,OSAKA, Japan,10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Novartis, Baxter, Pfizer",3,No,,
366,Data Scientist,112.00,116.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
367,Engineer - Computer Scientist - Research Computer Scientist - Signal Processing,112.00,116.00,3.9,"Southwest Research Institute
",Oklahoma City, OK,San Antonio, TX,1001 to 5000 ,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion ,"Los Alamos National Laboratory, Battelle, SRI International",7,No,,
368,Data Scientist,112.00,116.00,4.7,"Compass Consulting Group
",Thousand Oaks, CA,Danville, CA,51 to 200 ,2008,Company - Private,Consulting,Business Services,Unknown,None,0,No,,
369,Data Science Software Engineer,112.00,116.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
370,Ai Ops Data Scientist,112.00,116.00,4,"AstraZeneca
",Gaithersburg, MD,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
371,Data Scientist,112.00,116.00,4.4,"SolutionIT, Inc.
",Edison, NJ,Wilmington, MA,51 to 200 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
372,Data Scientist,112.00,116.00,3.2,"Perspecta
",Adelphi, MD,Chantilly, VA,10000+ ,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,No,,
373,Data Scientist,112.00,116.00,4.5,"Smith Hanley Associates
",Washington, DC,New York,61,1 to 50 ,1980,Company - Private,Staffing & Outsourcing,Business Services,Unknown,"Kforce, PageGroup, Robert Half",4,No,,
374,Scientist - Machine Learning,112.00,116.00,3.5,"Allen Institute
",Seattle, WA,Seattle, WA,201 to 500 ,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million ,None,0,Yes,,
375,Data Scientist,112.00,116.00,4.4,"Eliassen Group
",Plano, TX,Reading, MA,1001 to 5000 ,1989,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million ,"TEKsystems, Kforce, Randstad US",4,No,,
376,Data Scientist,112.00,116.00,3.1,"Bayside Solutions
",Sunnyvale, CA,Pleasanton, CA,1 to 50 ,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million ,None,0,No,,
377,Sr. Data Scientist,112.00,116.00,3.5,"Evolve Vacation Rental
",Denver, CO,Denver, CO,201 to 500 ,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown,None,0,No,,
378,Data Scientist,112.00,116.00,3.8,"AgreeYa Solutions
",Thousand Oaks, CA,Folsom, CA,1001 to 5000 ,1999,Company - Private,IT Services,Information Technology,$50 to $100 million ,None,0,No,,
379,Data Scientist,112.00,116.00,3.7,"Carolina Power & Light Co
",McLean, VA,Raleigh, NC,5001 to 10000 ,1908,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown,"South Carolina Electric & Gas, Virginia Electric and Power",9,No,,
380,Analytics Manager,112.00,116.00,3.5,"Central California Alliance for Health
",Scotts Valley, CA,Scotts Valley, CA,501 to 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion ,None,0,No,,
381,Data Modeler (Analytical Systems),112.00,116.00,3.7,"MassMutual
",Boston, MA,Springfield, MA,5001 to 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion ,None,0,No,,
382,Applied Ai Scientist / Engineer,112.00,116.00,5,"New Iron Group, Inc.
",Boston, MA,Austin, TX,1 to 50 ,2003,Contract,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
383,"Data Engineer (Analytics, Sql, Python, Aws)",112.00,116.00,4,"Travelers
",Hartford, CT,Hartford, CT,10000+ ,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion ,None,0,No,,
384,Senior Data Analyst - Finance & Platform Analytics,112.00,116.00,3.6,"Twitch
",San Francisco, CA,San Francisco, CA,1001 to 5000 ,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown,None,0,No,,
